root,s1,s2
2017-01-30_14-09-32-917,46,84
2017-01-31_14-11-22-778,58,99
2017-02-01_14-12-23-235,61,130
2017-02-01_14-20-40-167,49,104
2017-02-02_14-03-12-820,68,117
2017-02-03_14-17-10-481,88,166
2017-02-03_14-27-51-501,80,145
2017-02-03_14-36-53-693,75,126
2017-02-06_14-13-11-507,59,128
2017-02-06_14-21-16-706,48,66
2017-02-08_14-04-01-129,53,92
2017-02-09_14-06-18-285,71,122
2017-02-09_14-14-04-955,56,97
2017-02-10_14-05-44-437,60,123
2017-02-10_14-15-29-238,49,114
2017-02-13_14-11-59-155,73,133
2017-02-13_14-22-05-764,62,116
2017-02-13_14-33-47-982,60,105
2017-02-16_14-12-40-292,69,113
2017-02-16_14-19-04-926,60,89
2017-03-03_11-20-05-755,38,54
2017-03-03_11-35-42-851,61,108
2017-03-03_12-14-45-849,56,103
2017-03-03_12-22-10-468,53,102
2017-03-03_12-29-48-550,47,72
2017-03-03_12-37-32-755,42,87
2017-03-03_13-12-03-237,54,104
2017-03-03_13-20-28-731,60,104
2017-03-03_13-30-40-756,63,90
2017-03-08_12-08-33-112,89,139
2017-03-08_12-18-42-263,56,110
2017-03-08_12-27-19-148,58,115
2017-03-08_13-12-38-74,56,108
2017-03-08_13-24-24-724,54,97
2017-03-24_10-48-39-430,118,179
2017-03-24_11-01-01-49,57,110
2017-03-24_11-44-02-309,76,151
2017-03-24_11-50-29-214,41,93
2017-03-24_11-56-40-959,38,86
2017-03-24_12-40-18-142,55,89
2017-03-24_12-48-00-366,56,98
2017-03-29_12-14-08-617,51,93
2017-03-29_13-29-09-99,20,83
2017-04-04_13-18-48-414,78,135
2017-04-04_13-27-35-915,50,89
2017-04-04_13-58-57-956,65,101
2017-04-07_12-41-41-762,60,61
2017-04-07_12-48-02-966,46,81
2017-04-07_13-01-25-367,53,61
2017-04-07_13-07-53-382,42,59
2017-04-12_10-09-16-207,42,124
2017-04-12_13-00-34-288,53,120
2017-04-12_13-09-02-798,39,90
2017-04-12_13-15-00-532,39,73
2017-04-12_13-21-03-94,42,78
2017-04-12_14-02-20-877,52,96
2017-04-12_14-11-09-515,56,125
2017-04-12_14-18-12-410,60,108
2017-04-12_14-28-52-283,134,180
2017-04-12_14-40-07-485,58.5,100
2017-04-13_11-03-47-890,60,107
2017-04-13_11-13-01-549,53,102
2017-04-13_13-19-35-145,48,111
2017-04-13_13-26-17-966,49,87
2017-04-13_14-03-12-253,56,95
2017-04-13_14-12-24-294,50,92
2017-04-14_14-02-28-29,51,112
2017-04-14_14-11-44-333,86,132
2017-04-14_14-18-43-166,54,93
